email,senha
INFO[0000] 0.38839843046989136@mail.comuser123           source=console
INFO[0001] 0.2817547411377885@mail.comuser123            source=console
INFO[0002] 0.45259193398852976@mail.comuser123           source=console
INFO[0003] 0.968303428346874@mail.comuser123             source=console
INFO[0003] 0.8815079836492541@mail.comuser123            source=console
INFO[0004] 0.5326951700758575@mail.comuser123            source=console
INFO[0004] 0.550062731930061@mail.comuser123             source=console
INFO[0005] 0.17362971477709832@mail.comuser123           source=console
INFO[0005] 0.5353924440046322@mail.comuser123            source=console
INFO[0006] 0.7798602357669675@mail.comuser123            source=console
INFO[0006] 0.6925680351345671@mail.comuser123            source=console
INFO[0006] 0.28044956299762114@mail.comuser123           source=console
INFO[0007] 0.902491836363414@mail.comuser123             source=console
INFO[0007] 0.2755011945751424@mail.comuser123            source=console
INFO[0007] 0.7262484845287024@mail.comuser123            source=console
INFO[0008] 0.41793942526730765@mail.comuser123           source=console
INFO[0008] 0.03926916235212366@mail.comuser123           source=console
INFO[0009] 0.28809576632608325@mail.comuser123           source=console
